Word,Document Frequency,Term Frequency,Postings
5902,1,1,['CSI 5900']
5903,2,2,"['CSI 5904', 'CSI 6900']"
5904,1,1,['CSI 5904']
5910,1,1,['MAT 6997']
6002,1,1,['MAT 5309']
6008,2,2,"['MAT 5326', 'MAT 5328']"
6009,1,1,['MAT 5329']
6100,1,1,['CSI 7131']
6101,1,1,['MAT 5327']
6102,1,1,['MAT 5330']
6103,1,1,['MAT 5331']
6104,2,2,"['MAT 5158', 'CSI 7314']"
6136,1,1,['CSI 5142']
6168,1,1,['CSI 5169']
6201,1,1,['MAT 5312']
6274,1,1,['ADM 6286']
6275,1,1,['ADM 6287']
6286,1,1,['ADM 6286']
6287,1,1,['ADM 6287']
6507,2,2,"['MAT 5313', 'MAT 5319']"
6508,1,1,['MAT 5314']
6601,1,1,['CSI 7160']
6602,1,1,['CSI 7170']
6603,1,1,['CSI 7161']
6604,1,1,['CSI 7162']
6605,1,1,['CSI 7163']
6806,1,1,['MAT 5361']
6807,1,1,['MAT 5162']
6900,2,2,"['MAT 6990', 'CSI 6900']"
6901,2,2,"['MAT 6991', 'CSI 7901']"
6902,1,1,['CSI 7900']
6907,1,2,['CSI 9998']
6908,1,2,['CSI 9997']
7177,1,1,['CSI 5149']
7916,1,1,['PSY 8916']
8,2,2,"['ADM 4903', 'CSI 9997']"
90,1,1,['PSY 6002']
abelian,1,1,['MAT 2143']
abil,5,5,"['ADM 4340', 'PSY 3378', 'PSY 4310', 'PSY 6115', 'PSY 6904']"
abl,2,2,"['ADM 4340', 'ADM 6395']"
abnorm,3,3,"['PSY 1102', 'PSY 4371', 'PSY 6190']"
absolut,3,3,"['MAT 1318', 'MAT 4125', 'MAT 5125']"
abstract,5,5,"['MAT 3101', 'CSI 2110', 'CSI 4125', 'CSI 5113', 'CSI 5152']"
abus,4,4,"['PSY 3123', 'PSY 3142', 'PSY 7109', 'PSY 7909']"
